Ad,Başrol,Bölüm sayısı,Durumu,Format,Gösterim süresi,Kanal,Senarist,Sezon sayısı,Tür,Yapım şirketi,Yapımcı,Yayın tarihi,Yönetmen,Ülke
Hudutsuz Sevda,Deniz Can AktaşMiray DanerEsra DermancıoğluBurak SergenBurak SevinçAsuman Dabak,14,3,Televizyon dizisi,125,FOX,Bahadır ÖzdenerBerna AruzHaydar Şişman,1,81,Medyapım,Fatih AksoyMerve Girgin AytekinDirenç Aksoy Sidar,21 Eylül 2023 - günümüz,Murat Öztürk,Türkiye
Hür,Hilmi Cem İntepeOgün KaptanoğluBatuhan DemirDeniz ÇatalbaşZeynep Tuğçe Bayat,10,12,İnternet dizisi,48,Netflix,İlker ArslanBarış Erdoğan,1,221,ES Film,Yusuf EsenkalSerdar Öğretici,1 Aralık 2023,Ekin Pandır,Türkiye
Kendi Düşen Ağlamaz,Hakan YılmazSelen SoyderEnes KoçakEylül Tumbar,26,3,Televizyon dizisi,120,TRT 1,Gülbike Sonay Üte (1-)Tuna Kıygı (1-16)Fulya Emek Tanrıkulu (4-)Damla Güçer (17-)Samed Aslan (17-)Eda Daş Karakoç (18-),1,259,NGM,Nazlı HeptürkUğur Türkmen,22 Haziran 2023 - 4 Ocak 2024,Emre Kabakuşak İnci Balabanoğlu Ahıska,Türkiye
Kısmet,Cem GelinoğluÖzge ÖzacarCenan AdıgüzelSerdar Orçin,10,6,Televizyon dizisi,110,FOX,Mahinur ErgunYusuf Reha Alp,1,259,NTC Medya,Fatih AksoyMehmet Yiğit Alp,16 Haziran 2023 - 25 Ağustos 2023,Semih BağcıGül Sarıaltın,Türkiye
Kızıl Goncalar,Özgü NamalÖzcan Deniz,2,1,Televizyon dizisi,120,FOX,Şükrü Necati Şahin,1,81,Gold Film,Faruk Turgut,18 Aralık 2023 - günümüz,Ömür Atay (1-)Özgür Sevimli (2-),Türkiye
Kızılelma: Bir Fetih Öyküsü,Miraç SözerMurat GaripağaoğluEmre BaşerHakan Vanlı,8,12,İnternet dizisi,53,Netflix,Ozan BodurEnes ŞengönülCihan BozkayaBarış Kurt,1,287,Tekden Film,Kemal TekdenNurbanu Tekden,7 Mayıs 2023,Kamil Aydın,Türkiye
Kirli Sepeti,Ayça BingölCeren MorayCansu Tosun,13,3,Televizyon dizisi,115,FOX,Merve Girgin Aytekin (1-6)Nermin Yıldırım (7-),1,81,Medyapım,Fatih AksoyMerve Girgin AytekinDirenç Aksoy Sidar,24 Eylül 2023 - günümüz,Ece Erdek Koçoğlu,Türkiye
Kod Adı Kırlangıç,Serkan Şenalp Gizem ArıkanKorhan Herduran,8,3,Televizyon dizisi,60,TRT 1,Sümeyye Karaaslan,1,219,Zera Medya,Şeyma Eraz Çelik,12 Kasım 2023 - günümüz,Emir Khalilzadeh,Türkiye
Kraliçe,Burcu ÖzberkGökhan AlkanSelin ŞekerciÖzgün Karaman,11,6,Televizyon dizisi,100,Kanal D,Serdar Soydan (1)Kerem Bozok (1)Ekin Akçay (1)Nil Güleç Ünsal (2-11) Özlem İnci Hekimoğlu (2-11),1,81,Mednova,Selen SevigenGülümsün Özkök,22 Mart 2023 - 7 Haziran 2023,"Cevdet Mercan (1-8, 11)Serhan Şahin (9-10)",Türkiye
Magarsus,Ercan KesalBerkay AteşÇağlar ErtuğrulMerve Dizdar,8,5,İnternet dizisi,45,Netflix,Yunus Ozan KorkutMustafa Yürüktümen,1,81,Ay Yapım,Yamaç OkurSerkan Çakarer,10 Ağustos 2023 - 21 Eylül 2023,Yunus Ozan Korkut,Türkiye
Mahsusa: Trablusgarb,,10,16,İnternet dizisi,104,Netflix,Ozan BodurEnes Şengönül,1,281,A23 Medya,Raif İnanUğur Veli,29 Ekim 2023 - 22 Aralık 2023,Şafak Bal,Türkiye
Maviye Sürgün,Caner CindorukDamla SönmezSerkan Altunorak,25,6,Televizyon dizisiİnternet dizisi,120,Show TV (1-13),Murat Dişli (1-25)Barış Erdoğan (1-10)İlker Arslan (1-10)Ali Ercivan (1-2)Alper Atalan (1-2)Gamze Arslan (11-25)Meriç Demiray (11-25)Volkan Yazıcı (11-25),1,81,O3 Medya,Saner AyarKaren Barroeta,12 Haziran 2023 - 6 Aralık 2023,Nezaket Coşkun,Türkiye
Ne Gemiler Yaktım,Deniz Baysal YurtcuDevrim ÖzkanErkan Kolçak KöstendilBerk Hakman,4,1,Televizyon dizisi,140,Show TV,Banu Kiremitçi Bozkurt,1,81,Ay Yapım,Kerem Çatay,4 Aralık 2023 - günümüz,Altan Dönmez,Türkiye
Ömer,Selahattin PaşalıGökçe BahadırMerve DizdarBarış Falay,37,1,Televizyon dizisi,140,Star TV,Gülizar Irmak (1-32)Deniz Madanoğlu (32-)Sedef Bayburtluoğlu Gürerk (32-),2,81,OGM Pictures,Onur Güvenatam,9 Ocak 2023 - günümüz,Cem Karcı,Türkiye
Prens,Giray AltınokSerdar OrçinHüseyin Avni DanyalCeyda Düvenci,8,5,İnternet dizisi,104,Netflix,Giray AltınokKerem Özdoğan,1,191,MGX Film,Müşvik Guluzade,16 Haziran 2023 - günümüz,Bülent İşbilen,Türkiye
Ruhun Duymaz,Burcu ÖzberkŞükrü Özyıldız,9,6,Televizyon dizisi,130,FOX,Ayşe Üner Kutlu (1-9)Deniz Gürlek (2-9)Dilek İyigün (2-9),1,259,O3 Medya,Saner Ayar,24 Temmuz 2023 - 23 Eylül 2023,Aytaç Çiçek,Türkiye
Safir,İlhan ŞenÖzge YağızBurak Berkay AkgülGizem Karaca,18,3,Televizyon dizisi,135,atv,Burcu Över (1-12)Gül Abus Semerci (1-)Nalan Merter Savaş (10-)Onur Koçal (13-),1,81,NTC Medya,Fatih AksoyMehmet Yiğit Alp,4 Eylül 2023 - günümüz,Semih Bağcı,Türkiye
Sakla Beni,Uraz KaygılaroğluCemre BayselAsude Kalebek,9,3,Televizyon dizisi,125,Star TV,Armağan Gülşahin (1-)Elif Başaran (1-3)Fuat Mete (3-4)Nergis Otluoğlu Akoğlu (4-),1,81,OGM Pictures,Onur Güvenatam,2 Kasım 2023 - günümüz,Nadim Güç,Türkiye
"Sen, Ben, O",Başak GümülcinelioğluÇağrı Çıtanak,8,12,İnternet dizisi,15,Netflix,Halil Tekeş,1,259,PH YapımBabyMall,Hülya Sepken,21 Mart 2023,Emre Bahadır Çırakoğlu,Türkiye
Şahane Hayatım,Hilal AltınbilekOnur TunaYiğit ÖzşenerSerkan KeskinNesrin CavadzadeSumru Yavrucuk,9,3,Televizyon dizisi,120,FOX,Meriç Acemi (1-8)Çağla Kızılelma (9-)Yılmaz Şahin (9-)[1],1,130,Ay Yapım,Kerem Çatay,1 Kasım 2023 - günümüz,Çağrı Bayrak,Türkiye
Şahmaran,Serenay SarıkayaBurak Deniz,8,5,İnternet dizisi,52,Netflix,Pınar Bulut,1,224,Tims&B Productions,Timur SavcıBurak Sağyaşar,20 Ocak 2023 - günümüz,Umur TuragayBertan Başaran,Türkiye
Şebeke,Furkan PalalıPelin KarahanEren HacısalihoğluCeyda Ateş,10,12,İnternet dizisi,104,Netflix,İbrahim Elma[1]Kemal Çelik,1,25,Medyafikir Kulübü,İbrahim Elma,7 Mayıs 2023,Ozan Uzunoğlu,Türkiye
Taçsız Prenses,İsmail HacıoğluSümeyye AydoğanElif KurtaranTarık Papuççuoğlu,13,14,Televizyon dizisi,140,FOX,Pınar Bulut (1-10)Onur Koralp (1-13)Elif Benan Tüfekçi (11-13)Mehmet Çetin Taşçı (11-13),2,81,MF Yapım,Asena Bülbüloğlu,10 Ocak 2023 - 24 Haziran 2023,Volkan Keskin,Türkiye
Terzi,Çağatay UlusoySalih BademciŞifanur Gül,23,6,İnternet dizisi,40,Netflix,Rana MamatlıoğluBekir Baran Sıtkı,3,81,OGM Pictures,Onur Güvenatam,2 Mayıs 2023 - 3 Kasım 2023,Cem Karcı,Türkiye
Tetikçinin Oğlu,Şevket ÇoruhTimuçin EsenGenco Özak,7,14,Televizyon dizisi,140,FOX,Gökhan Horzum,1,108,O3 MedyaSame Film,Saner AyarÖmer Durak,11 Nisan 2023 - 6 Haziran 2023,Yağız Alp AkaydınEmre Aybek,Türkiye
Tozkoparan İskender: Gölge,Çağan Efe AkLeya KırşanTuana Naz TiryakiCemrehan KarakaşYağız KılınçDeniz ErayvazBerat Efe Parlar,10,5,İnternet dizisi,45,Netflix,Selin ArapkirliÖzgür Ağaoğlu,1,220,Fotoroman Film,Elif Hamamcı,7 Mayıs 2023,Şevki Es,Türkiye
Türk Dedektif,Haluk BilginerYasemin Kay AllenEthan Kai,6,13,İnternet dizisi,48,Netflix,Ben Schiffer,1,222,Ay YapımViacomCBSMiramax,Kerem ÇatayMarc HelwigBill BlockClaire Sowerby-Sheppard,15 Aralık 2023 - günümüz,Niels Arden Oplev,Türkiye ABD
Veda Mektubu,Nurgül YeşilçaySelim BayraktarRabia SoytürkEmre KıvılcımBennu Yıldırımlar,24,6,Televizyon dizisi,140,Kanal D,"Deniz Akçay (1)Armağan Gülşahin (1, 5-13)Gökhan Atasoy (1)Mahinur Ergun (2-4)Yusuf Reha Alp (2-4)Melih Çam (2-4)Ayberk Çınar (9-24)Aslı Gönülay (9-24)Simge Ayvazoğlu (9-24)",1,81,Most Production,Gül Oğuz,27 Şubat 2023 - 21 Ağustos 2023,Deniz Çelebi Dikilitaş,Türkiye
Vermem Seni Ellere,Emre BeyBuse Meral,9,6,Televizyon dizisi,120,atv,Şehrazat Tunus Taşçı (1-9)Damla Güçer (1-9)Samed Aslan (1-9)Veli Kaya (4-9),1,259,AKN Film,Akın TopuzEmre Arda,18 Haziran 2023 - 13 Ağustos 2023,Ali Balcı,Türkiye
Ya Çok Seversen,Kerem BürsinHafsanur Sancaktutan,13,6,Televizyon dizisi,130,Kanal D,Kübra Sülün,1,259,Ay Yapım,Kerem Çatay,6 Temmuz 2023 - 30 Eylül 2023,Ali Bilgin (1-7)Beste Sultan Kasapoğulları (1-7)Ali Balcı (8-13),Türkiye
Yabani,Halit Özgür SarıSimay BarlasDolunay SoysertBertan AsllaniYurdaer Okur,16,1,Televizyon dizisi,130,FOX,Hilal YıldızNazlı Sunlu KaçanSerap GazelÇisem KatılmazAli Ercivan,1,81,NTC Medya,Fatih AksoyMehmet Yiğit Alp,12 Eylül 2023 - günümüz,Çağatay Tosun,Türkiye
Yalnız Kalpler,Sena ŞahinTaygun SungarElif GülhanFurkan Kapsız,100,6,Televizyon dizisi,50,FOX,Eylem Akın,1,81,Bros FilmMavi Yapım,Selim ErkulCelal ÖztürkOğuz Öztürk,9 Ocak 2023 - 9 Haziran 2023,Cevriye Demir,Türkiye
Yeşil Deniz: Milenyum,Burak Serdar ŞanalMert TurakBurak AlkaşAli Barkın,10,5,İnternet dizisi,60,Netflix,Ali KaraTeoman GökMustafa Becit,1,206,RK YapımTFT Yapım,Rahmi KukulAyfer Özgürel,7 Mayıs 2023 - günümüz,Serkan Özarslan,Türkiye
Yıldızlar Bana Uzak,Furkan AndıçBurcu Kıratlı,1,3,Televizyon dizisi,135,atv,Ercan Uğur,1,81,O3 MedyaOrtaks Yapım,Saner AyarMüge Turalı PakMelda Perahya YalçınMehmetcan Yüksel,31 Aralık 2023 - günümüz,Bahadır İnce,Türkiye
Yüz Yıllık Mucize,Birkan SokulluEbru Şahin,13,6,Televizyon dizisi,135,Star TV,Nuran Evren Şit,1,119,OGM Pictures,Onur Güvenatam,23 Mart 2023 - 15 Haziran 2023,Hilal Saral,Türkiye
Adı Sevgi,Yunus Emre YıldırımerGizem Güneş,11,6,Televizyon dizisi,120,atv,Filiz AlpgezmenMurat Can Tura,1,111,Koliba Film,Ata Türkoğlu,13 Mart 2022 - 22 Mayıs 2022,Sadullah CelenCelil Murat Sarı,Türkiye
Ah Nerede,Oktay ÇubukNil Keser,7,6,Televizyon dizisi,120,Star TV,Kübra SülünMeryem Demirli,1,259,10. Ev Yapım,Kerem Çatay,1 Temmuz 2022 - 19 Ağustos 2022,Bülent İşbilen,Türkiye
Aldatmak,Vahide PerçinErcan KesalMustafa Uğurlu,51,3,Televizyon dizisi,130,atv,Yıldız Tunç,2,81,Tims&B Productions,Timur SavcıBurak Sağyaşar,22 Eylül 2022 - günümüz,Murat Saraçoğlu,Türkiye
Annenin Sırrıdır Çocuk,İrem HelvacıoğluSelin YeninciEngin ÖztürkOlgun Toker,11,6,Televizyon dizisi,140,TV8,Makbule Kosif (1-8)Gülsev Karagöz (1-8)Okan Başar Bahar (1-8)Platin Yazı Grubu (9-11),1,81,NTC Medya,Fatih AksoyMehmet Yiğit Alp,6 Nisan 2022 - 15 Haziran 2022,Müge Uğurlar,Türkiye
Andropoz,Engin GünaydınTamer KaradağlıDerya Karadaş,6,12,İnternet dizisi,45,Netflix,Engin Günaydın,1,130,Ay Yapım,Kerem Çatay,8 Ekim 2022,Taylan Biraderler,Türkiye
Aşk Kumardır,Ecem ErkekBarış YıldızSeda TürkmenEfe TunçerElit Andaç ÇamEmre Taştekin,7,12,Dijital,104,Netflix,Murat DişliZeki Enes Akkan,1,191,Hap Film,Kerem Çatay,14 Şubat 2022 - 28 Mart 2022,Nezih Helvacıoğlu,Türkiye
Aşk ve Umut,Hakan Dinçkolİlayda OrkutEda Elif BaşlamışlıFurkan OkumuşZeynep Melis GirşenErdem Adilce,232,3,Televizyon dizisi,50,Kanal D,Merve BalıkçıBaran Gündoğdu,2,81,Focus FilmContent House,Nilgün Sağyaşar,26 Eylül 2022 - günümüz,(1. sezon) Gürsel Ateş Reyhan Usta (2. sezon) Mahmut KaptanReyhan Usta,Türkiye
Aşkın Yolculuğu:Hacı Bayram-ı Veli,Burak Sevinç,26,6,Televizyon dizisi,120,TRT 1,İsa Yıldız (1-26)Fatma Nur Güldalı (1-26) Ali Ozan Salkım (1-26),1,296,Tekden Film,Kemal Tekden,11 Şubat 2022 - 28 Nisan 2022,Kamil Aydın (1-5)Yücel Hüdaverdi (5-26),Türkiye
Baba,Haluk Bilginer Tolga Sarıtaş,30,6,Televizyon dizisi,120,Show TV,Gökhan HorzumEkin Atalar,2,81,Ay Yapım,Kerem Çatay,15 Şubat 2022 - 27 Aralık 2022,Çağrı Bayrak,Türkiye
Balkan Ninnisi,Erdal ÖzyağcılarÖzlem TürkadEmre BeyMerih ÖztürkHakan BoyavSuzan AkbelgeCan KolukısaErman SabanBedia Begovska,25,6,Televizyon dizisi,104,TRT 1,Uğur UzunokNurullah SevimliAbdülhamit IşıkEsma KoçBaki Türkİdris MeydiOzan AyazAlev ToprakoğluHamza Akyıldız,1,22,Ay Yapım,Yalçın ArıUğur Uzunok,21 Haziran 2022 - 5 Ocak 2023,"Doğan Ümit Karaca(1-4)Volkan Kapkın (1-4)Serdar Akar (5-10, 21)Selahattin Sancaklı(6-25)Evrim Yöney (11-25)",Türkiye
Ben Bu Cihana Sığmazam,Oktay KaynarcaEbru ÖzkanOzan Akbabaİsmail DemirciBurak ÇelikEski başrolPelin Akil,51,1,Televizyon dizisi,135,atv,Oktay Kaynarca (1-30) Onur Tan (1-9)Ali Can Yaraş (1-4)Mahinur Ergun (1-6)Yusuf Reha Alp (1-7)Alev Uzma (9-35)Ceylan Güleç (9-35)Alphan Dikmen (10-35)Başak Angigün (10-35)Zülküf Yücel (36-)Zehra Yücel (36-),2,36,Güzel Adamlar Medya(1-35)KYN Production(36-),Oktay KaynarcaSeyfi Şahin (1-35)Onur Tan (1-35)Onur Kaynarca (36-),20 Eylül 2022 - günümüz,Onur Tan (1-8)Baran Özçaylan (4-35)Zekeriya Tekin Kurtuluş (8-10)Mustafa Şevki Doğan (11-)Tuğçe Küçükkalıpçı(36-),Türkiye
Ben Gri,Timuçin EsenEbru Özkan,8,12,İnternet dizisi,30,Netflix,OGM Yazım Grubu,1,254,OGM Pictures,Onur Güvenatam,16 Kasım 2022 - 28 Aralık 2022,Taylan Biraderler,Türkiye
Canım Annem,Selin SezginErol GedikGece Işık Demirel,350,6,Televizyon dizisi,50,TV8,Ahmet KöşeoğluGökhan KorkusuzSedef KayaMünevver YıldızDeniz AydenkHazan TomaAslı AksuGökçen EroğluŞeyma Yolkara,1,81,Stellar YapımSaran Studios,İnci Gülen OarrJulia Berköz,14 Şubat 2022 - 28 Temmuz 2023,Ece Tahtalıoğlu PertezEmrah Şendur,Türkiye
Cezailer,Yiğit ÖzşenerRıza Kocaoğlu,6,12,İnternet dizisi,104,Netflix,Murat Can OğuzAyberk Çınar,1,81,Most Production,Murat Can Oğuz,29 Eylül 2022 - 3 Kasım 2022,Murat Can Oğuz,Türkiye
Çekiç ve Gül:Bir Behzat Ç. Hikayesi,Erdal Beşikçioğlu İnanç Konukçu Berkan Şal,12,13,İnternet dizisi,70,Netflix,Ercan Uğur,2,235,Ortaks Yapım,Müge TuralıMelda Perahya YalçınMehmetcan Yüksel,6 Aralık 2022 - günümüz,Devrim Yalçın,Türkiye
Çöp Adam,Engin Altan DüzyatanElçin Sangu,30,6,Televizyon dizisi,105,Star TV,Melek Gençoğlu (1-13)Su Ersöz (1-13)Deniz Madanoğlu (14-25)Meriç Demiray (26-30)Volkan Sümbül (26-30)Okan Başar Bahar (26-30)Pınar Göktaş (26-30),2,81,OGM Pictures,Onur Güvenatam,30 Kasım 2022 - 11 Ekim 2023,Yağız Alp Akaydın (1-8)Çağrı Vila Lostuvalı (9-30),Türkiye
Darmaduman,Mert YazıcıoğluAslıhan MalboraHafsanur SancaktutanAytaç ŞaşmazNur FettahoğluNecip Memili,9,6,Televizyon dizisi,130,FOX,Damla Serim (1-9)Berrin Tekdemir (2-9),1,184,Ay Yapım,Kerem Çatay,27 Ekim 2022 - 24 Aralık 2022,Deniz Yorulmazer,Türkiye
Duy Beni,Berk HakmanEge KökenliRabia SoytürkCaner TopçuSümeyye Aydoğan,20,6,Televizyon dizisi,130,Star TV,Makbule KosifZafer Özer ÇetinelGülsev KaragözOkan Başar BaharBurcu TatlısesArzu BıçakçıFeraye Gizem KurtBurcu TatlısesGörkem Tüzünİlayda Çelik TezCaner GülerMeriç DemirayCüneyt Bolak,1,149,Süreç Film,Ali Gündoğduİsmail Gündoğdu,7 Temmuz 2022 - 17 Kasım 2022,Ali Balcı,Türkiye
Dünyayla Benim Aramda,Demet ÖzdemirBuğra GülsoyHafsanur SancaktutanMetin Akdülger,8,12,İnternet dizisi,60,Netflix,Pınar Bulut,1,267,MF Yapım,Asena Bülbüloğlu,14 Eylül 2022 - 26 Ekim 2022,Hülya Gezer,Türkiye
Erkek Severse,Alperen DuymazBüşra DeveliYasemin AllenGörkem Sevindik,26,6,İnternet dizisi,45,Netflix,Aslı Zengin,1,146,Gold Film,Faruk Turgut,20 Ocak 2022 - 14 Nisan 2022,Ömür Atay (1-14)Zeliha Orman (15-26),Türkiye
Erşan Kuneri,Cem YılmazZafer AlgözEzgi MolaÇağlar ÇorumluMerve DizdarNilperi ŞahinkayaBülent ŞakrakUraz Kaygılaroğlu,8,0,İnternet dizisi,30,Netflix,Cem Yılmaz,1,191,CMYLMZ Fikir Sanat,Cem Yılmaz,13 Mayıs 2022 - günümüz,Cem Yılmaz,Türkiye
Esaret,Cenk TorunMahassine Merabet,242,3,Televizyon dizisi,60,Kanal 7,Başak Yazı Odası,2,81,Karamel Yapım,Nazmiye Yılmaz,21 Kasım 2022 - günümüz,Ayhan ÖzenSerkan Mut,Türkiye
Gecenin Ucunda,Neslihan AtagülKadir DoğuluTuba ÜnsalSarp Levendoğlu,26,6,Televizyon dizisi,120,Star TV,Başar BaşaranEmre Özdür,1,145,TMC FilmÂlim Yapım,Erol AvcıKadir Doğulu,5 Ekim 2022 - 25 Nisan 2023,Barış Erçetin,Türkiye
Gelsin Hayat Bildiği Gibi,Ertan SabanÖzge ÖzberkDevrim Özkan,41,6,Televizyon dizisi,145,Show TV,Gani Müjde,1,122,BKM,Necati Akpınar,21 Temmuz 2022 - 25 Mayıs 2023,Altan Dönmez,Türkiye
Gülümse Kaderine,Bahar ŞahinSude Zülal Güler,5,6,Televizyon dizisi,140,FOX,Burcu Över,1,81,Avşar Film,Şükrü Avşar,27 Nisan 2022 - 25 Mayıs 2022,Aytaç Çiçek,Türkiye
Güzel Günler,Binnur KayaEcem ErkekLeyla TanlarZeynep ÇamcıOlgun TokerBurak DakakYıldıray Şahinler,26,6,Televizyon dizisi,145,Show TV,Selin Tunç,1,205,TMC Film,Erol Avcı,6 Kasım 2022 - 18 Haziran 2023,Osman Taşcı,Türkiye
Hakim,Erdal BeşikçioğluEbru ÖzkanUğur YücelYurdaer Okur,10,6,Televizyon dizisi,120,atv,Yılmaz Şahin (1-5)Çağla Kızılelma (1-5)Gökhan Şeker (4-5)Ali Doğançay (6-10),1,155,Limon Film,Hayri Aslan,4 Nisan 2022 - 13 Haziran 2022,Erkan Tunç (1-4)Süleyman Mert Özdemir (1-5)Osman Taşcı (6-7)Günay Günaydın (8-10),Türkiye
Hayaller ve Hayatlar,Özge GürelAybüke PusatMelisa Aslı PamukYeşim Ceren BozoğluYusuf ÇimEkin Mert DaymazSerkay Tütüncü,26,6,İnternet dizisi,104,Netflix,Yelda EroğluYeşim Çıtak,1,146,NGM,Nazlı Heptürk,17 Şubat 2022 - 12 Mayıs 2022,Altan Dönmez (1-18)Orkun Çatak (19-26),Türkiye
Hayat Bugün,Ulaş Tuna AstepeHazar ErgüçlüTansel ÖngelHande Doğandemir,8,6,Televizyon dizisi,135,Show TV,Ayça ÜzümCansu Çoban,1,227,O3 Medya,Saner AyarPelin Akat,19 Ekim 2022 - 7 Aralık 2022,Çiğdem Bozali (1-4)Volkan Kocatürk (5-8),Türkiye
Hicran,Nisa Sofia AksongurElçin Zehra İremBerk Bakioğlu,160,6,Televizyon dizisi,50,Kanal D,Uğur Kandemir ArpacıFırat Efe AkyüzZeynep Kaya,1,81,Filmevi YapımInter Medya,Dilek YorulmazErol DemirKaren Barroeta,7 Kasım 2022 - 30 Haziran 2023,Gürsel AteşNuh ŞenMehtap Köroğlu,Türkiye
İçimizdeki Ateş,Burak SevinçCeren Benderlioğluİpek Filiz YazıcıAtakan HoşgörenGizem Arıkan,5,6,Televizyon dizisi,120,atv,Nimet ErdemBirol ElginözÖzlem Elginöz,1,146,Fabrika Yapım,Öner Arslanel,23 Haziran 2022 - 21 Temmuz 2022,Murat Onbul,Türkiye
